,评论,日期,评分,城市,昵称
1784,恩......挺好的,2018-08-04,5.0,衡水,蕾蕾蕾蕾蕾蕾llll
1799,剧情发展得有点过快，但能看见这样的特效，还是比较满意的,2018-08-04,5.0,佛山,LOl928544946
1814,很激动人心，就像影中说的。有守护的人了，就不会在乎你是否有侠岚印。,2018-08-04,3.5,大连,Jaclyn ZT
1829,二刷走起！！！,2018-08-04,5.0,西安,青木52
1844,好看，看完之后我要去补原作了，值得一看,2018-08-04,5.0,亳州,h405650039
1859,很好看，很感动，值得一看，希望你们多多努力继续加油,2018-08-04,5.0,亳州,gJr355075623
1889,不错，尤其适合00后这一代孩子去看。挺好的,2018-08-04,5.0,西安,郭元勋995
1904,情节感人，音乐好听,2018-08-04,5.0,张家港,幻想她不爱我
1919,超级好看 有笑有泪,2018-08-04,5.0,北京,Unl132800851
1934,要罚就罚他俩😒,2018-08-04,5.0,晋江市,Sanjay.Wang
1949,呜呜呜太棒惹！！！我吹爆！！！！！！！！！！！！！！！！！！,2018-08-04,5.0,乐山,饭团团x
1964,真是没想到惊喜！惊艳！,2018-08-04,5.0,上海,Rdw708128029
1979,完全勾起了侠岚的回忆！！,2018-08-04,5.0,四平,BHD625490723
1994,好看。。。。,2018-08-04,5.0,惠州,FIB818114231
2009,情节紧凑有笑点有泪点，挖的坑也填上了，感觉还是票价的就是看的人少，笑的时候有点尬,2018-08-04,4.5,成都,Hwjiay
2024,制作不错  剧情一般吧,2018-08-04,4.0,宁波,CYJ199403
2039,男主一声妈，背景音乐起，毫无防备的泪如雨下. 正义，亲情，爱，是电影永恒闪光的力量！中国风满满. 值得一看的电影. ,2018-08-04,4.5,沈阳,hzn887131273
2054,感觉是个3星的作品，但是为了支持国产，给4星。,2018-08-04,4.0,泸州,beiniguanzui
2069,是国产动画的崛起之作了…,2018-08-04,5.0,哈尔滨,媛媛媛媛媛小圈
2084,国漫越来越给力了！,2018-08-04,5.0,北京,小顺子
