,评论,日期,评分,城市,昵称
3959,与原著相差甚远。,2018/7/21,2.0,郑州,奥斯卡影帝
3974,我觉得没有什么好看的，连看电影的时候都有时候在吃鸡，建议小孩不要看，有一些少儿不宜的片段,2018/7/21,3.0,福州,wrc326304397
4214,天空视觉好美,2018/7/21,4.0,上海,hZC151369151
4229,营销满分，钱圈到了，影评就八个字：强行搞笑，最为致命！完全不知道在讲什么！,2018/7/21,0.5,兰州,agX616295946
4259,搞siao哈哈哈哈哈哈哈,2018/7/21,5.0,合肥,wMs954161873
4274,又一部姜文式,2018/7/21,4.0,泉州,qeuiozxcnm
4334,彭于晏 好看,2018/7/21,5.0,沂水,田鸡汤
4349,姜文的电影没让我失望，有水准，很好看。,2018/7/21,5.0,沈阳,陈艳5512
4454,这片只有7.3分，连动画片都比他高，近期影片最低分，大概是因为，姜文的电影是76度的白酒，一般人受不了,2018/7/21,5.0,温州,ameiayumi
4529,很久没看姜文的作品了，依然是子弹飞了的作派只是多了一些武打动作，王角功夫不错，看了笑笑而已，与近期上演的我不是药神差太远了??,2018/7/21,2.5,北京,ZMy608361609
4544,呵呵呵  开心开心,2018/7/21,5.0,璧山,过去还值得眷恋
4559,还不错吧，还是可以看的。,2018/7/21,4.0,平度,nvm178639127
4604,还可以，就是要回味,2018/7/21,4.5,岳阳,jsf741044827
4904,廖凡才是真影帝，文角儿武角儿，有廖凡演的角儿，一定是好角儿，有廖凡拍的电影，一定是好电影。,2018/7/21,5.0,广州,失去
5129,浪费了彭于晏这样好的演员，题材不错，内容太差,2018/7/21,1.5,贵阳,ZNj845062979
5219,逻辑不明的电影,2018/7/21,0.5,南宁,现充boy（笑
5729,畫面很美 彭不適合這個角色,2018/7/21,4.0,深圳,HtL45156795
5744,近几年，姜导改走荒诞路线了吗？,2018/7/21,3.0,哈尔滨,老神驾到
5759,原来评分低是有原因的，真的不好,2018/7/21,0.5,武汉,huao123
5774,除了房顶没别的玩意儿了,2018/7/21,3.5,中山,怎么说话NE
5789,后面剧情有点乱了,2018/7/21,4.0,江都,前行480
5819,好性感的许晴，可她却不是女，女1还是二婚，配彭于晏有点赚了,2018/7/21,5.0,东兴,Rho996051232
5999,姜文一贯作风！空洞的故事情节硬插入历史背景里 想搞点高姿态的艺术 想说的说不清楚 想叛逆又没这胆子！所以拉着一群老百姓给他捧票房 看不懂的大可以骂做无知。彭于晏炸鸦片房的桥段和手撕鬼子也差不多…周围看不下去提前退场的比比皆是 浪费我的钱也就罢了 再浪费我的时间那可亏大了！,2018/7/21,1.5,南京,lew524423638
6014,确实有意思，哈哈,2018/7/21,5.0,石家庄,叻陶
6029,太喜欢姜文。太喜欢彭于晏了。,2018/7/21,5.0,醴陵,wvQ31300624
6044,这部电影不错,2018/7/21,4.5,宜兴,utW963660651
6104,很姜文，很燃，很爆炸，喜欢到爆。,2018/7/21,5.0,沈阳,UMW929851747
6119,有生之年看过最垃圾的一部电影，没有之一。,2018/7/21,0.5,宿州,abcd0415
6134,看半天也看不出什么，是我没看出内涵嘛,2018/7/21,3.0,海口,t112008312
6149,剧情一般，最后感觉傻乎乎的有点,2018/7/21,3.0,杭州,戚金龙97
6164,不喜欢就是不喜欢啊,2018/7/21,0.5,日照,koK590499788
6179,演技不错的 朋友觉得很喜欢,2018/7/21,3.5,哈尔滨,dBV933724998
6209,延续了姜文一贯的风格，粗狂，野性，肌肉，充满男性荷尔蒙。但是故事讲的不清不楚，不知道想表达什么。电影中呈现的北京旧城非常美。,2018/7/21,3.0,北京,love727
6224,影片可以，很姜文！,2018/7/21,5.0,天门,ocd747124605
6239,还行吧。。。。。,2018/7/21,4.0,重庆,VUh984212522
6254,现在的导演太没有道德底线了，看完不知道是什么意思，建议不要看,2018/7/21,0.5,泰州,JiC626384353
6299,好看吗？好看吗？好看吗？一般吧！,2018/7/21,4.0,鞍山,qqpp9966
