data-id,城市,印象,城市游记,印象游记,景点游记,餐饮游记,购物游记,娱乐游记
20416,溱潼古镇,,21,0,0,0,0,0
10795,南街村,,0,0,0,0,0,0
64634,新沂,,0,0,0,0,0,0
15812,瑞丽,玉石 边境口岸 米线 水果 泡鲁达 珠宝城,346,212,0,84,128,0
140689,淅川,,0,0,0,0,0,0
10805,日照,海水浴场 海鲜 花蛤 玩海 赶海 工艺品 少人景点 鲜海鲜 煎饼,1312,1071,335,375,140,221
64637,扬中,,0,0,0,0,0,0
143772,滑县,,0,0,0,0,0,0
12715,德钦,,124,0,0,0,0,0
11817,泰安,,426,0,0,0,0,0
10430,枫桥古镇,,0,0,0,0,0,0
64162,泌阳,,0,0,0,0,0,0
10481,虎跳峡,,675,0,0,0,0,0
11270,长岛,奇礁异石 群岛 日出日落 打渔垂钓 鲜鱼水饺 亲子 鱼翅鲍鱼 工艺品 铁板鱿鱼,1624,784,410,76,76,222
84556,江都,,0,0,0,0,0,0
64168,淇县,,0,0,0,0,0,0
140673,汝阳,,0,0,0,0,0,0
15060,建水,,529,0,0,0,0,0
64635,洪泽,,17,0,0,0,0,0
10443,蓬莱,必游景点 海鲜 八仙酒品 海鲜饭馆 鲜鱼水饺 海产干货 裙带菜,774,645,241,260,144,0
63873,社旗,,0,0,0,0,0,0
176321,沭阳县,,0,0,0,0,0,0
11871,红河,,278,0,0,0,0,0
11244,曲阜,建筑 古文化 煎饼 孔子纪念品 购物街 鲁菜 孔府宴 孔府家酒 看演出,599,296,158,77,61,0
64169,浚县,,0,0,0,0,0,0
84494,仪征,,0,0,0,0,0,0
10650,东川,城市攻略>,485,0,0,0,0,0
64179,项城,,0,0,0,0,0,0
11707,潍坊,,281,0,0,0,0,0
64632,沛县,,0,0,0,0,0,0
143780,洛宁,,0,0,0,0,0,0
176363,东海县,,0,0,0,0,0,0
10165,石林,,486,0,0,0,0,0
12819,临沂,,358,0,0,0,0,0
84721,固始,,0,0,0,0,0,0
140758,射阳,,0,0,0,0,0,0
11533,玉溪,古镇 玉溪米线 温泉 江川大头鱼 购物 秘境 澄江藕粉 山水风光 青松烧鸭,203,286,187,63,0,36
17019,台儿庄,,630,0,0,0,0,0
63872,内乡,,0,0,0,0,0,0
64633,睢宁,,0,0,0,0,0,0
10523,怒江,,370,0,0,0,0,0
11705,淄博,,299,0,0,0,0,0
175769,新县,,0,0,0,0,0,0
147280,明月湾村,,0,0,0,0,0,0
64163,汝南,,0,0,0,0,0,0
176384,宝应县,,0,0,0,0,0,0
11400,崂山,,542,0,0,0,0,0
58705,桃园,城市攻略>,70,0,0,0,0,0
140560,邓州,,0,0,0,0,0,0
176294,丰县,,0,0,0,0,0,0
13113,济宁,,121,0,0,0,0,0
145920,北投,北投温泉亲水公园 温泉豆腐 温泉蛋,35,0,0,0,0,0
141609,兰考,,0,0,0,0,0,0
176312,泗洪县,,0,0,0,0,0,0
11708,枣庄,,159,0,0,0,0,0
64928,仁爱,,0,0,0,0,0,0
143803,舞阳,,0,0,0,0,0,0
140570,阜宁,,0,0,0,0,0,0
11921,东营,,213,0,0,0,0,0
66294,确山,,0,0,0,0,0,0
176318,泗阳县,,0,0,0,0,0,0
11063,基隆,海鲜 美食餐厅 天妇罗,64,46,0,46,0,0
143774,武陟,,0,0,0,0,0,0
143708,永联村,,0,0,0,0,0,0
11936,德州,,88,0,0,0,0,0
10360,绿岛,浮潜 朝日温泉 绿岛美食 环岛 酥炸飞鱼 鹿肉料理 海草麻糬 旗鱼酥,167,82,0,20,0,62
64161,襄城,,0,0,0,0,0,0
64638,建湖,,0,0,0,0,0,0
11926,聊城,,126,0,0,0,0,0
11066,澎湖,澎湖美食 仙人掌果及其他制品 浮潜,181,81,0,70,0,11
