公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月薪
深圳市乐途宝网络科技有限公司,嘟嘟巴士,50-150人,B轮,南山区,PHP开发工程师,3-5年,大专,12k-20k,"晋升体系,五险一金,扁平管理,美女多","['3', '5']",4.0,"['12', '20']",14.0
万兴科技股份有限公司,万兴科技股份有限公司,150-500人,上市公司,南山区,高级PHP开发工程师,3-5年,本科,18k-25k,前景好、工作环境好、同事很Nice，待遇优,"['3', '5']",4.0,"['18', '25']",19.75
深圳市爱豆网络技术有限公司,爱豆,15-50人,A轮,南山区,PHP开发工程师,3-5年,本科,15k-25k,"扁平化管理,团队氛围好,出国旅游","['3', '5']",4.0,"['15', '25']",17.5
深圳市猎芯科技有限公司,猎芯科技,50-150人,B轮,龙岗区,高级PHP后端开发工程师,3-5年,本科,15k-25k,"发展空间大,php,牛人共事","['3', '5']",4.0,"['15', '25']",17.5
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,技术支持/PHP开发,3-5年,大专,10k-15k,"五百强公司,六险一金,年度旅游,年度体检","['3', '5']",4.0,"['10', '15']",11.25
深圳市龙霸网络科技有限公司,龙霸网络,50-150人,未融资,宝安区,PHP,1-3年,大专,6k-12k,"五险一金,员工旅游,晋升空间大,包住","['1', '3']",2.0,"['6', '12']",7.5
深圳绿巨人网络传媒有限公司,绿巨人,150-500人,未融资,龙岗区,PHP开发工程师,3-5年,大专,8k-15k,"php,软件开发,架构师,小程序","['3', '5']",4.0,"['8', '15']",9.75
深圳亿幕信息科技有限公司,亿幕,50-150人,A轮,南山区,【深圳】PHP开发工程师,1-3年,本科,12k-22k,发挥空间大,"['1', '3']",2.0,"['12', '22']",14.5
深圳云行智能科技有限公司,云行智能,50-150人,天使轮,南山区,PHP高级工程师,3-5年,本科,20k-35k,"高五险一金,BAT大牛,扁平化组织,行业好","['3', '5']",4.0,"['20', '35']",23.75
深圳市前海朵莓网络科技有限公司,深圳市前海朵莓网络科技有限公司,50-150人,天使轮,宝安区,PHP开发工程师,3-5年,大专,12k-20k,"带薪年假,双休,五险一金,节假日福利","['3', '5']",4.0,"['12', '20']",14.0
