data-id,城市,美食,票数
12334,东莞,荔枝柴烧鹅,1
12334,东莞,青麻茶,1
12334,东莞,蟹黄粥,1
12334,东莞,沙鱼丸,1
12334,东莞,槎滘鱼包,1
12334,东莞,糖不甩,1
12334,东莞,白沙油鸭,1
12334,东莞,裹蒸粽,1
34195,沂源,没有,0
64177,扶沟,没有,0
144195,郓城,没有,0
175808,柘城县,没有,0
64943,池上,没有,0
13063,汕头,牛肉丸,153
13063,汕头,肠粉,149
13063,汕头,粿条,144
13063,汕头,蚝烙,106
13063,汕头,粽球,91
13063,汕头,牛肉火锅,83
13063,汕头,粿汁,71
13063,汕头,糯米猪肠,17
13063,汕头,腐乳饼,15
13063,汕头,薄壳米,15
145863,太麻里,没有,0
10779,韶关,坑螺,16
10779,韶关,扣肉,4
10779,韶关,烟肉,2
10779,韶关,田螺香煲,2
10779,韶关,豆豉鱼,2
10779,韶关,黑山羊腿,2
10779,韶关,棘胸蛙,1
10779,韶关,冷水肚,1
10779,韶关,月婆鸡,1
10779,韶关,游水鸡,1
145844,狮子,没有,0
145858,关山,没有,0
143804,清丰,没有,0
175820,虞城县,没有,0
64442,招远,没有,0
143778,杞县,没有,0
10503,顺德,没有,0
84516,兖州,没有,0
64926,埔里,没有,0
11449,潮州,没有,0
10514,中山,没有,0
175673,孟州市,没有,0
145853,枋寮,石斑鱼,1
145853,枋寮,油鱼子,1
145853,枋寮,樱花虾,1
145853,枋寮,黑珍珠莲雾,1
145853,枋寮,黑鲔鱼,1
144191,单县,没有,0
64867,苏澳,没有,0
26496,番禺,没有,0
10548,清远,没有,0
175691,上街区,没有,0
64378,平度,没有,0
143773,内黄,没有,0
64932,水上乡,没有,0
64379,五莲,没有,0
175772,潢川县,没有,0
139409,沂南,没有,0
140764,齐河,没有,0
12475,湛江,白切鸡,7
12475,湛江,簸箕炊,1
12475,湛江,雷州大粽,1
12475,湛江,清煮花蟹,1
12475,湛江,油炸虾饼,1
12475,湛江,牛杂串,1
12475,湛江,木叶夹,1
12475,湛江,猪肠粉,1
144208,临清,没有,0
75784,乌来,没有,0
10778,肇庆,裹蒸粽,40
10778,肇庆,豆腐花,23
10778,肇庆,牛肉,6
10778,肇庆,鼎湖上素,4
10778,肇庆,竹篙粉,2
10778,肇庆,杏花鸡,2
10778,肇庆,文庆鲤,1
10778,肇庆,茶油鸡,1
10778,肇庆,炆猪手,1
10778,肇庆,濑粉,1
143799,上蔡,没有,0
141503,河口瑶族自治县,没有,0
84680,莱阳,没有,0
167129,广州长隆旅游度假区,没有,0
143801,新蔡,没有,0
64377,莒县,没有,0
21790,白沙古镇,没有,0
143776,尉氏,没有,0
63579,昆明安宁,没有,0
176120,博山区,没有,0
64165,息县,没有,0
22786,禄劝,没有,0
19451,大钦岛,没有,0
11479,阳江,没有,0
18381,巽寮湾,梅菜扣肉,1
18381,巽寮湾,窝全鸭,1
18381,巽寮湾,胡须鸡,1
175778,祥符区,没有,0
14949,墨江,没有,0
20275,黑井古镇,没有,0
66310,邹平,没有,0
175658,吉利区,没有,0
12691,江门,海鲜宴,132
12691,江门,烧鹅,19
12691,江门,狗肉,9
12691,江门,濑粉,8
176069,长清区,没有,0
143792,延津,没有,0
175835,台前县,没有,0
63072,广南,没有,0
22517,碧色寨,没有,0
175832,范县(濮阳市),没有,0
10507,开平,黄鳝饭,33
10507,开平,彪记羊肉,5
10507,开平,开平烧肉,1
10507,开平,赤坎鸭粥,1
10507,开平,马冈濑粉,1
10507,开平,纯手工磨制黑芝麻糊,1
143805,南乐,没有,0
144199,平阴,没有,0
18478,海陵岛,没有,0
63063,宜良,没有,0
175688,马村区,没有,0
